"species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"Adelie","Torgersen",39.2,19.6,195,4675,"male",2007
"Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"Adelie","Torgersen",46,21.5,194,4200,"male",2007
"Adelie","Biscoe",37.7,18.7,180,3600,"male",2007
"Adelie","Biscoe",38.2,18.1,185,3950,"male",2007
"Adelie","Biscoe",38.8,17.2,180,3800,"male",2007
"Adelie","Biscoe",40.6,18.6,183,3550,"male",2007
"Adelie","Biscoe",40.5,18.9,180,3950,"male",2007
"Adelie","Dream",37.2,18.1,178,3900,"male",2007
"Adelie","Dream",40.9,18.9,184,3900,"male",2007
"Adelie","Dream",39.2,21.1,196,4150,"male",2007
"Adelie","Dream",38.8,20,190,3950,"male",2007
"Adelie","Dream",39.8,19.1,184,4650,"male",2007
"Adelie","Dream",40.8,18.4,195,3900,"male",2007
"Adelie","Dream",44.1,19.7,196,4400,"male",2007
"Adelie","Dream",39.6,18.8,190,4600,"male",2007
"Adelie","Dream",41.1,19,182,3425,"male",2007
"Adelie","Dream",42.3,21.2,191,4150,"male",2007
"Adelie","Biscoe",40.1,18.9,188,4300,"male",2008
"Adelie","Biscoe",42,19.5,200,4050,"male",2008
"Adelie","Biscoe",41.4,18.6,191,3700,"male",2008
"Adelie","Biscoe",40.6,18.8,193,3800,"male",2008
"Adelie","Biscoe",37.6,19.1,194,3750,"male",2008
"Adelie","Biscoe",41.3,21.1,195,4400,"male",2008
"Adelie","Biscoe",41.1,18.2,192,4050,"male",2008
"Adelie","Biscoe",41.6,18,192,3950,"male",2008
"Adelie","Biscoe",41.1,19.1,188,4100,"male",2008
"Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"Adelie","Torgersen",39.7,18.4,190,3900,"male",2008
"Adelie","Torgersen",45.8,18.9,197,4150,"male",2008
"Adelie","Torgersen",42.8,18.5,195,4250,"male",2008
"Adelie","Torgersen",37.2,19.4,184,3900,"male",2008
